Country Name,Country Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,DZA,78.6,89.6,38.4,90.2,211.6,471.8,805.3,1050.4,1686.1,2340.3,4202.3,5877.3,4947.4,4052.6,4465.5,5197.6,6334.3,8240.6,8434.2,7849.0
Angola,AGO,23.7,8.3,3.2,0.0,4.1,34.1,79.4,304.0,994.8,1158.1,3222.0,4861.9,4964.1,6344.2,7556.4,7450.4,6398.4,4952.8,4331.9,6693.3
Benin,BEN,1.7,2.2,1.4,23.3,15.4,12.6,5.7,1.9,6.0,17.0,20.3,28.3,25.2,40.8,87.7,236.6,256.2,91.6,92.9,81.1
Botswana,BWA,61.3,55.3,63.6,52.6,45.2,133.4,229.3,263.8,219.0,262.9,405.2,604.7,1585.0,1566.3,745.0,405.0,290.3,315.0,300.2,252.8
Burkina Faso,BFA,2.2,2.5,0.3,0.5,0.0,0.2,0.2,0.5,0.1,0.1,0.0,0.2,3.9,1.4,1.1,0.4,25.9,3.2,0.8,0.3
Burundi,BDI,0.8,0.3,0.8,3.2,1.8,1.5,1.1,2.4,10.4,11.1,12.7,5.6,14.4,24.6,45.9,281.2,67.9,71.5,63.0,27.0
Cameroon,CMR,11.8,16.5,16.4,14.0,12.7,11.2,12.2,17.3,35.3,98.2,62.2,122.1,133.1,337.4,634.1,1140.9,1238.9,1413.5,1517.5,1892.4
Cape Verde,CPV,2.5,0.9,1.8,1.4,0.2,0.5,3.9,1.7,7.8,2.6,4.3,17.4,10.6,15.3,15.3,24.6,44.2,24.6,8.1,16.9
Central African Republic,CAF,0.0,2.6,0.7,0.2,1.3,15.4,19.5,23.6,17.5,11.8,24.0,34.6,36.6,122.4,69.6,3.1,3.0,4.9,10.7,19.8
Chad,TCD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.8,51.2,130.8,445.1,1474.8,923.7,798.1,1149.8,1112.5,715.9,965.5,627.9
Comoros,COM,0.0,0.6,1.4,0.5,0.0,1.0,1.8,4.8,16.9,18.2,4.8,10.1,19.8,24.1,32.0,51.9,36.4,22.3,17.6,14.6
"Congo, Rep.",COG,3.7,0.4,0.1,8.2,4.0,12.2,41.6,113.7,185.4,223.3,629.3,858.6,1077.7,941.3,1028.6,1876.3,2531.9,2975.9,2169.3,747.5
"Congo, Dem. Rep.",COD,13.4,6.5,2.4,10.3,4.4,22.6,20.2,82.7,162.9,191.7,280.3,629.7,627.7,784.2,968.5,939.9,1449.7,0.0,1179.0,1499.5
Cote d'Ivoire,CIV,87.8,48.8,53.3,10.9,11.3,6.9,13.8,25.9,11.5,23.6,14.8,20.8,46.7,26.5,90.4,328.8,353.2,630.1,639.8,976.6
Djibouti,DJI,12.2,6.6,8.9,3.9,2.7,8.2,5.7,8.8,8.0,12.5,17.3,69.2,20.6,38.5,37.6,65.0,368.7,1071.9,840.9,366.1
Egypt,EGY,20.8,15.1,7.2,10.4,30.2,23.7,73.8,276.5,337.5,391.9,513.8,797.4,1168.8,1023.7,969.0,1028.1,924.0,2017.8,2281.1,1541.8
Equatorial Guinea,GNQ,0.8,50.8,5.1,5.2,11.7,10.6,27.0,73.2,137.8,306.6,712.4,1335.2,1748.4,1801.6,1794.5,2627.7,2076.7,1368.5,1182.7,1025.0
